"highTeam","season","lowTeam","id","pred","lowTeamSeed","highTeamSeed","lowSeed","highSeed","lowTeamWins","lowTeamLosses","highTeamWins","highTeamLosses","lowTeamWinRate","highTeamWinRate","lhWinDiff","winalgo","pred.lhWinDiff"
"506","N","503","N_503_506",0.452054794520548,"X13","Y16a","13","16",22,12,20,9,0.647058823529412,0.689655172413793,-0.0425963488843814,0.452054794520548,0.457403651115619
"506","P","503","P_503_506",0.675090252707581,"Z15","W16a","15","16",22,12,15,17,0.647058823529412,0.46875,0.178308823529412,0.675090252707581,0.678308823529412
"507","R","503","R_503_507",0.634517766497462,"X12","Y15","12","15",25,6,24,10,0.806451612903226,0.705882352941177,0.100569259962049,0.634517766497462,0.600569259962049
"509","N","503","N_503_509",0.34841628959276,"X13","W14","13","14",22,12,24,7,0.647058823529412,0.774193548387097,-0.127134724857685,0.34841628959276,0.372865275142315
"509","N","506","N_506_509",0.393258426966292,"Y16a","W14","16","14",20,9,24,7,0.689655172413793,0.774193548387097,-0.0845383759733036,0.393258426966292,0.415461624026696
"511","N","509","N_509_511",0.701123595505618,"W14","Y12","14","12",24,7,19,13,0.774193548387097,0.59375,0.180443548387097,0.701123595505618,0.680443548387097
"511","N","503","N_503_511",0.556420233463035,"X13","Y12","13","12",22,12,19,13,0.647058823529412,0.59375,0.0533088235294118,0.556420233463035,0.553308823529412
"511","N","506","N_506_511",0.603248259860789,"Y16a","Y12","16","12",20,9,19,13,0.689655172413793,0.59375,0.0959051724137931,0.603248259860789,0.595905172413793
"511","P","503","P_503_511",0.322175732217573,"Z15","X05","15","05",22,12,27,7,0.647058823529412,0.794117647058823,-0.147058823529412,0.322175732217573,0.352941176470588
"511","P","506","P_506_511",0.186170212765958,"W16a","X05","16","05",15,17,27,7,0.46875,0.794117647058823,-0.325367647058823,0.186170212765958,0.174632352941177
"511","R","503","R_503_511",0.538461538461538,"X12","Z06","12","06",25,6,25,7,0.806451612903226,0.78125,0.0252016129032258,0.538461538461538,0.525201612903226
"511","R","507","R_507_511",0.401913875598086,"Y15","Z06","15","06",24,10,25,7,0.705882352941177,0.78125,-0.0753676470588235,0.401913875598086,0.424632352941177
"512","N","503","N_503_512",0.407407407407407,"X13","X06","13","06",22,12,24,9,0.647058823529412,0.727272727272727,-0.0802139037433155,0.407407407407407,0.419786096256685
