"lowTeam","highTeam","season","id","pred","lowTeamSeed","highTeamSeed","lowSeed","highSeed","lowTeamWins","lowTeamLosses","highTeamWins","highTeamLosses","lowTeamWinRate","highTeamWinRate","lhWinDiff","pred.algo","pred.lhWinDiff","pred.seeds","highTeamName","lowTeamName"
"507","509","S","S_507_509",0.447661290322581,"X16a","Z15","16","15",18,14,20,12,0.5625,0.625,-0.0625,0.435483870967742,0.4375,0.47,"American Univ","Albany NY"
"507","830","S","S_507_830",0.168323529411765,"X16a","W01","16","01",18,14,28,6,0.5625,0.823529411764706,-0.261029411764706,0.216,0.238970588235294,0.05,"Virginia","Albany NY"
"507","511","S","S_507_511",0.125496174079388,"X16a","Z01","16","01",18,14,30,4,0.5625,0.882352941176471,-0.319852941176471,0.146341463414634,0.180147058823529,0.05,"Arizona","Albany NY"
"507","695","S","S_507_695",0.42267825311943,"X16a","Y12a","16","12",18,14,21,13,0.5625,0.617647058823529,-0.0551470588235294,0.443181818181818,0.444852941176471,0.38,"NC State","Albany NY"
"507","512","S","S_507_512",0.376229674796748,"X16a","Y10","16","10",18,14,21,11,0.5625,0.65625,-0.09375,0.402439024390244,0.40625,0.32,"Arizona St","Albany NY"
"507","658","S","S_507_658",0.318651960784314,"X16a","Y13","16","13",18,14,25,7,0.5625,0.78125,-0.21875,0.264705882352941,0.28125,0.41,"Manhattan","Albany NY"
"507","521","S","S_507_521",0.329045893719807,"X16a","Z06","16","06",18,14,22,11,0.5625,0.666666666666667,-0.104166666666667,0.391304347826087,0.395833333333333,0.2,"Baylor","Albany NY"
"507","636","S","S_507_636",0.24684282584885,"X16a","X02","16","02",18,14,24,9,0.5625,0.727272727272727,-0.164772727272727,0.325301204819277,0.335227272727273,0.08,"Kansas","Albany NY"
"507","640","S","S_507_640",0.321818285453716,"X16a","Y08","16","08",18,14,24,10,0.5625,0.705882352941177,-0.143382352941177,0.348837209302325,0.356617647058823,0.26,"Kentucky","Albany NY"
"507","702","S","S_507_702",0.351204044117647,"X16a","Z13","16","13",18,14,25,9,0.5625,0.735294117647059,-0.172794117647059,0.31640625,0.327205882352941,0.41,"New Mexico St","Albany NY"
"507","570","S","S_507_570",0.351204044117647,"X16a","W13","16","13",18,14,25,9,0.5625,0.735294117647059,-0.172794117647059,0.31640625,0.327205882352941,0.41,"Delaware","Albany NY"
"507","829","S","S_507_829",0.140890804597701,"X16a","W02","16","02",18,14,28,4,0.5625,0.875,-0.3125,0.155172413793103,0.1875,0.08,"Villanova","Albany NY"
"507","825","S","S_507_825",0.250419561525398,"X16a","X05","16","05",18,14,26,8,0.5625,0.764705882352941,-0.202205882352941,0.283464566929134,0.297794117647059,0.17,"VA Commonwealth","Albany NY"
"507","559","S","S_507_559",0.270419561525398,"X16a","W07","16","07",18,14,26,8,0.5625,0.764705882352941,-0.202205882352941,0.283464566929134,0.297794117647059,0.23,"Connecticut","Albany NY"
"507","536","S","S_507_536",0.369045893719807,"X16a","Z10","16","10",18,14,22,11,0.5625,0.666666666666667,-0.104166666666667,0.391304347826087,0.395833333333333,0.32,"BYU","Albany NY"
"507","577","S","S_507_577",0.230419561525398,"X16a","Y03","16","03",18,14,26,8,0.5625,0.764705882352941,-0.202205882352941,0.283464566929134,0.297794117647059,0.11,"Duke","Albany NY"
"507","612","S","S_507_612",0.250349049408945,"X16a","W12","16","12",18,14,25,4,0.5625,0.862068965517241,-0.299568965517241,0.170616113744076,0.200431034482759,0.38,"Harvard","Albany NY"
"507","846","S","S_507_846",0.0375,"X16a","Y01","16","01",18,14,33,0,0.5625,1,-0.4375,0,0.0625,0.05,"Wichita St","Albany NY"
"507","686","S","S_507_686",0.541666666666667,"X16a","X16b","16","16",18,14,16,16,0.5625,0.5,0.0625,0.5625,0.5625,0.5,"Mt St Mary's","Albany NY"
"507","538","S","S_507_538",0.62844982078853,"X16a","Y16a","16","16",18,14,11,19,0.5625,0.366666666666667,0.195833333333333,0.689516129032258,0.695833333333333,0.5,"Cal Poly SLO","Albany NY"
"507","599","S","S_507_599",0.300833333333333,"X16a","W09","16","09",18,14,24,8,0.5625,0.75,-0.1875,0.3,0.3125,0.29,"G Washington","Albany NY"
"507","811","S","S_507_811",0.423854883700005,"X16a","Z14","16","14",18,14,20,11,0.5625,0.645161290322581,-0.0826612903225806,0.414225941422594,0.417338709677419,0.44,"ULL","Albany NY"
"507","666","S","S_507_666",0.319167810569664,"X16a","W08","16","08",18,14,22,9,0.5625,0.709677419354839,-0.147177419354839,0.34468085106383,0.352822580645161,0.26,"Memphis","Albany NY"
"507","790","S","S_507_790",0.407661290322581,"X16a","Y11b","16","11",18,14,20,12,0.5625,0.625,-0.0625,0.435483870967742,0.4375,0.35,"Tennessee","Albany NY"
"507","737","S","S_507_737",0.372266214177979,"X16a","W11","16","11",18,14,23,11,0.5625,0.676470588235294,-0.113970588235294,0.380769230769231,0.386029411764706,0.35,"Providence","Albany NY"
"507","637","S","S_507_637",0.387661290322581,"X16a","Y09","16","09",18,14,20,12,0.5625,0.625,-0.0625,0.435483870967742,0.4375,0.29,"Kansas St","Albany NY"
"507","802","S","S_507_802",0.419888591800357,"X16a","X13","16","13",18,14,21,12,0.5625,0.636363636363636,-0.0738636363636364,0.423529411764706,0.426136363636364,0.41,"Tulsa","Albany NY"
"507","549","S","S_507_549",0.212180134680135,"X16a","W05","16","05",18,14,27,6,0.5625,0.818181818181818,-0.255681818181818,0.222222222222222,0.244318181818182,0.17,"Cincinnati","Albany NY"
"507","721","S","S_507_721",0.282820247933884,"X16a","Z05","16","05",18,14,23,9,0.5625,0.71875,-0.15625,0.334710743801653,0.34375,0.17,"Oklahoma","Albany NY"
"507","553","S","S_507_553",0.474679487179487,"X16a","W16","16","16",18,14,18,12,0.5625,0.6,-0.0375,0.461538461538461,0.4625,0.5,"Coastal Car","Albany NY"
"507","689","S","S_507_689",0.305467032967033,"X16a","Z12","16","12",18,14,22,6,0.5625,0.785714285714286,-0.223214285714286,0.259615384615385,0.276785714285714,0.38,"N Dakota St","Albany NY"
"507","663","S","S_507_663",0.270833333333333,"X16a","Y06","16","06",18,14,24,8,0.5625,0.75,-0.1875,0.3,0.3125,0.2,"Massachusetts","Albany NY"
"507","783","S","S_507_783",0.389888591800357,"X16a","X10","16","10",18,14,21,12,0.5625,0.636363636363636,-0.0738636363636364,0.423529411764706,0.426136363636364,0.32,"Stanford","Albany NY"
"507","836","S","S_507_836",0.379167810569664,"X16a","X14","16","14",18,14,22,9,0.5625,0.709677419354839,-0.147177419354839,0.34468085106383,0.352822580645161,0.44,"W Michigan","Albany NY"
